BATCH CONTRACT SCRAPE SUMMARY
Completed At,2025-10-16T16:54:52.077947
Total Players,769
Succeeded,743
Failed,26
Success Rate,96.6%

SUCCESSFUL SCRAPES
Index,Player Name,NHL ID,Team,CapWages Slug,Contracts,Details
254,Ty Emberson,8480834,EDM,ty-emberson,4,28
255,Brett Kulak,8476967,EDM,brett-kulak,5,60
256,Darnell Nurse,8477498,EDM,darnell-nurse,4,68
257,Alec Regula,8480831,EDM,alec-regula,4,32
258,Troy Stecher,8479442,EDM,troy-stecher,6,60
259,Jake Walman,8478013,EDM,jake-walman,5,80
260,Calvin Pickard,8475717,EDM,calvin-pickard,8,120
261,Stuart Skinner,8479973,EDM,stuart-skinner,3,24
262,Aleksander Barkov,8477493,FLA,aleksander-barkov,3,51
263,Sam Bennett,8477935,FLA,sam-bennett,5,95
264,Jesper Boqvist,8480003,FLA,jesper-boqvist,5,40
265,Jonah Gadjovich,8479981,FLA,jonah-gadjovich,5,55
267,Noah Gregor,8479393,FLA,noah-gregor,6,48
268,Luke Kunin,8479316,FLA,luke-kunin,5,45
269,Anton Lundell,8482113,FLA,anton-lundell,2,18
270,Eetu Luostarinen,8480185,FLA,eetu-luostarinen,3,24
271,Brad Marchand,8473419,FLA,brad-marchand,5,120
272,Sam Reinhart,8477933,FLA,sam-reinhart,5,90
273,Evan Rodrigues,8478542,FLA,evan-rodrigues,7,84
274,Mackie Samoskevich,8482713,FLA,mackie-samoskevich,2,8
275,Cole Schwindt,8481655,FLA,cole-schwindt,3,18
276,Carter Verhaeghe,8477409,FLA,carter-verhaeghe,6,114
277,Uvis Balinskis,8484304,FLA,uvis-balinskis,2,6
278,Tobias Bjornfot,8481600,FLA,tobias-bjornfot,3,21
279,Aaron Ekblad,8477932,FLA,aaron-ekblad,3,57
280,Gustav Forsling,8478055,FLA,gustav-forsling,5,80
281,Seth Jones,8477495,FLA,seth-jones,3,51
282,Dmitry Kulikov,8475179,FLA,dmitry-kulikov,8,152
283,Niko Mikkola,8478859,FLA,niko-mikkola,5,80
284,Jeff Petry,8473507,FLA,jeff-petry,6,96
285,Sergei Bobrovsky,8475683,FLA,sergei-bobrovsky,4,64
286,Daniil Tarasov,8480193,FLA,daniil-tarasov,3,21
287,Joel Armia,8476469,LAK,joel-armia,6,90
288,Quinton Byfield,8482124,LAK,quinton-byfield,2,18
