player_contracts_final3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nhl_player_id,full_name,team_abbrev,position,age,contract_years_total,years_remaining,contract_start_date,contract_end_date,signing_date,contract_type,no_trade_clause,no_movement_clause,signing_age,signing_team,contract_status,roster_status,retained_percentage,sync_date,data_source,cap_hit_percentage,base_salary,signing_bonus,performance_bonus,clause_details,arbitration_eligible,ufa_year,draft_year,draft_round,draft_overall,must_sign_by,base_2025_26,sb_2025_26,pb_potential_2025_26,cap_hit_2025_26,base_2026_27,sb_2026_27,pb_potential_2026_27,cap_hit_2026_27,base_2027_28,sb_2027_28,pb_potential_2027_28,cap_hit_2027_28,base_2028_29,sb_2028_29,pb_potential_2028_29,cap_hit_2028_29,base_2029_30,sb_2029_30,pb_potential_2029_30,cap_hit_2029_30,base_2030_31,sb_2030_31,pb_potential_2030_31,cap_hit_2030_31
,"Benning, Matt",TOR,RD,31,2.0,1.0,2024-07-01,2026-06-30,2022-07-14,Standard,,,30.0,San Jose Sharks,UFA,minors,0,2025-10-11,capwages,1.3,1250000.0,0.0,0,,,2026.0,2012.0,6.0,175.0,,100000.0,0.0,0.0,100000.0,,,,,,,,,,,,,,,,,,,,
,"Peksa, Vyacheslav",TOR,G,23,2.0,1.0,2024-07-01,2026-06-30,2023-05-15,ELC,,,22.0,Toronto Maple Leafs,RFA,minors,0,2025-10-11,capwages,0.9,775000.0,76666.66666666670,0,,Yes,,2021.0,6.0,185.0,,851667.0,0.0,0.0,851667.0,,,,,,,,,,,,,,,,,,,,
,"Akhtyamov, Artur",TOR,G,23,2.0,1.0,2024-07-01,2026-06-30,2023-07-01,ELC,,,22.0,Toronto Maple Leafs,RFA,minors,0,2025-10-11,capwages,0.9,775000.0,76666.66666666670,0,,Yes,,2020.0,4.0,106.0,,851667.0,0.0,0.0,851667.0,,,,,,,,,,,,,,,,,,,,
,"Hildeby, Dennis",TOR,G,24,4.0,3.0,2024-07-01,2028-06-30,2025-09-02,Standard,,,23.0,Toronto Maple Leafs,RFA,minors,0,2025-10-11,capwages,0.9,841666.6666666670,0.0,0,,Yes,,2022.0,4.0,122.0,,841667.0,0.0,0.0,841667.0,841667.0,0.0,0.0,841667.0,841667.0,0.0,0.0,841667.0,,,,,,,,,,,,
,"Koblar, Tinus Luc",TOR,C,18,,,,,,,,,,Toronto Maple Leafs,unsigned,unsigned,0,2025-10-11,capwages,,,0.0,0,,,,2025.0,2.0,64.0,"Jun. 1, 2029",,,,,,,,,,,,,,,,,,,,,,,,
,"Hopkins, Tyler",TOR,C,18,,,,,,,,,,Toronto Maple Leafs,unsigned,unsigned,0,2025-10-11,capwages,,,0.0,0,,,,2025.0,3.0,86.0,"Jun. 1, 2027",,,,,,,,,,,,,,,,,,,,,,,,
,"Belle, William",TOR,RW,18,,,,,,,,,,Toronto Maple Leafs,unsigned,unsigned,0,2025-10-11,capwages,,,0.0,0,,,,2025.0,5.0,137.0,"Aug. 15, 2029",,,,,,,,,,,,,,,,,,,,,,,,
,"Nansi, Harry",TOR,RW,18,,,,,,,,,,Toronto Maple Leafs,unsigned,unsigned,0,2025-10-11,capwages,,,0.0,0,,,,2025.0,5.0,153.0,"Jun. 1, 2027",,,,,,,,,,,,,,,,,,,,,,,,
,"Fellinger, Rylan",TOR,D,18,,,,,,,,,,Toronto Maple Leafs,unsigned,unsigned,0,2025-10-11,capwages,,,0.0,0,,,,2025.0,6.0,185.0,"Jun. 1, 2027",,,,,,,,,,,,,,,,,,,,,,,,
,"Hlacar, Matthew",TOR,LW,19,,,,,,,,,,Toronto Maple Leafs,unsigned,unsigned,0,2025-10-11,capwages,,,0.0,0,,,,2025.0,7.0,217.0,"Jun. 1, 2027",,,,,,,,,,,,,,,,,,,,,,,,
