Player,Position,Team,ES IND XGFP20,ES ACT2XPF,SOO,SOOdiff,SOT%,ES ISF (P20 WOI),ES ISAg (P20 WOI),ES ISF% (WOI),ES P2SAg (P20 WOI),ES XGFP20 (WOI),ES XGAP20 (WOI),ES OPREB (P20 WOI),ES OddMRAg (P20),ES OZSTART %,XGF %,ES CORSIFOR%
"Sam Malinski","D","Colorado",0.18679716297477383,-0.18679716297477383,17.710617781162405,8.01727826762167,0.16769855048407634,4.073978272115887,1.454992240041388,0.7368421052631579,4.073978272115887,1.1708716543779087,0.4515541261716076,1.7459906880496654,0.29099844800827757,0.5,0.7216796407052494,0.564935064935065
"Samuel Girard","D","Colorado",0.04469414025247878,0.13701024689900182,17.738314749754178,8.34482436292831,0.08041083461509861,4.360905291635534,1.4536350972118448,0.75,3.634087743029612,1.3387294714022324,0.6838139987386272,2.180452645817767,0.7268175486059224,0.3592233009708738,0.6619039299605248,0.5833333333333334
"Alexander Petrovic","D","Dallas",0.07620165074277263,0.01891314753459271,20.96446373698109,-0.843612977134617,0.13025962893267898,1.2364923776057495,1.4267219741604802,0.4642857142857143,4.280165922481441,0.7562836197530505,0.5453796102609386,2.3778699569341337,0.19022959655473068,0.3496932515337423,0.5810132777161744,0.5628140703517588
"Esa Lindell","D","Dallas",0.07227894393940243,-0.07227894393940243,27.161837159003767,-7.949621804051548,0.07068403128953693,1.712724455258472,3.058436527247271,0.358974358974359,4.648823521415852,0.7413618695950528,1.114069034333798,3.731292563241671,1.1010371498090177,0.17664670658682635,0.3995631785722813,0.4105263157894737
"Ilya Lyubushkin","D","Dallas",0.05771483839588224,-0.05771483839588224,24.908232356402664,-5.436192870023065,0.0847465232052349,1.4369268923528873,3.257034289333211,0.30612244897959184,4.50237092937238,0.684956583541728,1.2175342109913552,2.682263532392056,0.3831805046274366,0.26066350710900477,0.3600314837317427,0.4056603773584906
"Lian Bichsel","D","Dallas",0.051611302438727934,-0.051611302438727934,21.072166154771274,-1.1698181013394668,0.08557074589670108,1.4548158445610102,1.7457790134732123,0.45454545454545453,4.170472087741563,0.78878131556982,0.6107412980695099,2.6186685202098183,0.872889506736606,0.3181818181818182,0.5636074100429622,0.5615384615384615
"Miro Heiskanen","D","Dallas",0.06578852139999589,-0.06578852139999589,23.91517875552611,0.0635059374379972,0.1585900285281144,2.101798570339098,2.6272482129238726,0.4444444444444444,3.4154226768010343,0.8425040109488707,0.8790996549551899,2.233160980985292,0.9195368745233554,0.4658385093167702,0.4893716408918362,0.5405405405405406
"Thomas Harley","D","Dallas",0.1255549115705026,0.03586872533393004,25.014241769085846,-3.7067882135430463,0.12593377362274605,1.721852126980615,2.0985072797576243,0.4507042253521127,3.658935769833807,0.7435228978788618,0.8377026854321783,2.636586069439067,0.5380787896814422,0.3951612903225806,0.4702193701685161,0.4791946308724832
"Brett Kulak","D","Edmonton",0.05171367886508888,-0.00446350758321798,23.736209206462807,-0.27863502922836847,0.07246506914899274,2.5515092492210285,1.9845071938385779,0.5625,4.72501712818709,0.8528407316118968,0.7700646869885749,2.0790075364023197,0.4252515415368381,0.2638190954773869,0.5255024241322407,0.4854614412136536
"Darnell Nurse","D","Edmonton",0.09278363424570032,0.04685300020110589,23.74487788757373,1.0016340048468937,0.09885509836074188,2.2341861511488994,2.3272772407801035,0.4897959183673469,4.608008936744605,0.7723596800337987,0.8928759163712283,2.2341861511488994,0.7912742618652352,0.29876543209876544,0.46381405832375777,0.4658018867924528
"Evan Bouchard","D","Edmonton",0.15490021624471356,0.08479489157813569,23.297951222583706,6.279562274363175,0.12867747456160603,2.7325242291804814,1.6299267331953748,0.6263736263736264,4.0748168329884376,1.195820428610573,0.6546961795564333,1.5340486900662351,0.5273292372102684,0.44047619047619047,0.646208968529642,0.5731272294887039
"Jake Walman","D","Edmonton",0.08920094308705383,0.023117417064887985,23.54639267249755,3.9282298750351106,0.10907507654398788,3.0887549041783995,2.358685563190778,0.5670103092783505,4.661211946305585,1.0406596083668227,0.9501120371643604,2.246367203038836,0.3931142605317963,0.4727272727272727,0.5227418276239066,0.5167525773195877
"Josh Brown","D","Edmonton",0,0,18.025757174914098,4.527980429487739,0,8.645533141210416,8.645533141210416,0.5,0,6.504228398987587,1.7988895648494663,0,0,0,0.7833477047195702,0.625
"Mattias Ekholm","D","Edmonton",0.06024987866699797,0.11765265051395847,22.828759459521653,6.650984549232272,0.09317467414006751,2.1348303501714776,1.7790252918095646,0.5454545454545454,4.447563229523912,0.9820550892706299,0.7421925406890636,1.2453177042666952,0.3558050583619129,0.4,0.5695557135801814,0.4778761061946903
"Troy Stecher","D","Edmonton",0.05504209497994163,-0.05504209497994163,21.68387537041405,1.5234385045220897,0.08216347264369744,1.885478152021914,1.3198347064153397,0.5882352941176471,4.525147564852594,0.610310778201977,0.587527630431577,2.828217228032871,0.37709563040438276,0.30851063829787234,0.5095101090456726,0.4375
"Ty Emberson","D","Edmonton",0.021746549482104856,-0.021746549482104856,21.272721055485658,-1.932463361300841,0.04652635702249368,2.9567817073771674,2.365425365901734,0.5555555555555556,3.8438162195903174,0.8454886989709217,0.8948659371260747,3.8438162195903174,0.5913563414754335,0.18867924528301888,0.4858140297583575,0.4214876033057851
"Aaron Ekblad","D","Florida",0.10185595807396032,0.08617320037368502,25.420685918373593,0.022070132515534212,0.1478327553733921,2.193673515222529,2.4443790598193895,0.47297297297297297,3.948612327400552,0.9152703760293842,1.017939750299415,2.381702673670174,0.3760583168952907,0.3559322033898305,0.47344588338542337,0.5424929178470255
